id,text,action,expression,category
044,すごい！,勢いよく拍手する,感嘆した笑顔,surprise
045,やったー！,両手を突き上げて跳び上がる,満面の笑み,joy
046,最高！,両手の親指を立てる,目を閉じた最高の笑顔,joy
047,なるほど…,腕を組んで視線を落とす,考え込む半目,think
048,うーん…,首をかしげて頭を掻く,困り眉の曖昧な顔,think
049,それはそう,手のひらを上に向けて肩をすくめる,呆れ気味の半目,think
050,わかる,胸に手を当てて深くうなずく,共感のこもった穏やかな笑顔,think
051,わかりません,両手を広げて肩をすくめる,眉を下げた困り顔,trouble
052,ちょっと無理です,両腕を交差させて大きなバツを作る,引きつった苦笑い,trouble
053,厳しいです,手のひらを横に振って断る,険しい困り顔,trouble
054,難しい…,顎に手を当ててうつむく,眉間にしわを寄せた表情,trouble
055,どうしましょう,両手を頬に当ててあたふたする,泣きそうな困り顔,trouble
056,困った…,両手で頭を抱える,汗を垂らした困惑顔,trouble
057,それは困ります,手のひらを突き出して拒む,眉を吊り上げた真顔,trouble
058,ちょっと考えます,顎に指を当てて斜め上を見る,思案顔,think
059,要確認です,書類を指差して注意を促す,引き締まった真顔,work
060,確認します！,書類を掲げながら敬礼する,きりっとした笑顔,work
061,お疲れさまです,軽く会釈しながら片手を挙げる,穏やかな笑顔,greeting
062,お疲れ！,拳を前に突き出す,にっと笑った顔,greeting
063,今日は疲れた…,肩を落としてうなだれる,疲れ切った半目,tired
064,眠い…,目をこすりながらあくびをする,とろんとした眠そうな顔,tired
065,もう限界,床にぺたんと座り込む,白目気味のぐったり顔,tired
066,休憩します,椅子に深くもたれて足を投げ出す,気の抜けた笑顔,tired
067,ちょっと休みます,コーヒーカップを持って一息つく,ほっとした表情,tired
068,お腹すいた,両手でお腹を押さえる,力ない切なげな顔,life
069,ご飯行きます？,箸を持つ仕草で誘う,期待に満ちた笑顔,life
070,帰りたい…,遠くを見るように窓の外を眺める,虚ろな半目,tired
071,おはよう！,元気に片手を挙げて挨拶する,爽やかな朝の笑顔,greeting
072,おやすみ,手を振りながら目を閉じる,眠たげな優しい笑顔,greeting
073,いってきます,鞄を持って歩き出す,明るい笑顔,greeting
074,いってらっしゃい,両手を振って見送る,優しい笑顔,greeting
075,ただいま,ネクタイを緩めながら片手を挙げる,安心した笑顔,greeting
076,おかえり,両手を広げて迎える,嬉しそうな笑顔,greeting
077,ありがとう,軽く手を挙げて会釈する,照れた笑顔,thanks
078,ごめん！,片手で拝む,舌をぺろっと出した苦笑い,apology
079,大丈夫？,心配そうに前かがみで覗き込む,眉を下げた心配顔,care
080,大丈夫！,胸を張って親指を立てる,力強い笑顔,care
081,マジか…,天を仰いで立ち尽くす,放心した半目,surprise
082,なんだって！？,飛び上がって驚く,目が飛び出しそうな驚愕顔,surprise
083,うそでしょ！？,両手で口を覆う,信じられないという目,surprise
084,それはヤバい,頬に手を当てて後ずさる,引きつった冷や汗顔,surprise
085,やばい！,頭を抱えて走り回る,大慌ての表情,surprise
086,知らんけど,明後日の方向を指差す,すまし顔,misc
087,それは知らん,両手を上げてそっぽを向く,つんとした半目,misc
088,どういうこと！？,両手を広げて問い詰める,眉を寄せた困惑顔,misc
089,ちょっと何言ってるかわからない,首を大きくかしげる,無表情の真顔,misc
090,もう寝ます,枕を抱えてふらふら歩く,とろけた眠り顔,tired
091,今見ました,スマホの画面を指差す,はっとした表情,reply
092,今気づきました,額に手を当てて振り返る,しまったという顔,reply
093,既読です,スマホを掲げて片手を挙げる,しれっとした笑顔,reply
094,後で見る！,スマホをポケットにしまう,軽い笑顔,reply
095,OKです！,指でOKサインを高く掲げる,明るい笑顔,basic
096,大丈夫です,手を胸に当てて穏やかにうなずく,落ち着いた微笑み,basic
097,了解しました！,背筋を伸ばしてびしっと敬礼する,引き締まった笑顔,basic
098,お任せします,両手で相手に差し出す仕草,信頼を込めた笑顔,request
099,よろしく！,拳を軽く突き出す,気さくな笑顔,greeting
100,おつ！,片手をひらひらと振る,にこっとした軽い笑顔,greeting
